asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity
RigidBody,13,0.4237302243709564,0.03131836652755737,0.20897874236106873,-0.003211911767721176,0.908438503742218,-0.012419555336236954,0.4178217947483063,0.004457409959286451,1
RigidBody,37,0.4626308083534241,0.007153099402785301,0.20379038155078888,0.003983318340033293,0.8757135272026062,-0.3894251585006714,0.28540846705436706,0.002492322586476803,1
RigidBody,38,0.4920289218425751,0.014715146273374557,0.22145535051822662,-0.0814482718706131,0.7831316590309143,-0.43023788928985596,0.441550076007843,0.0,0
RigidBody,39,0.5099048614501953,0.0299166738986969,0.2400711327791214,-0.033052146434783935,0.7866616249084473,-0.4022209346294403,0.4672144651412964,0.0060638063587248325,1
RigidBody,40,0.5434901118278503,0.033911895006895065,0.2613345980644226,0.11401582509279251,0.8671183586120605,-0.13293319940567017,0.4662993252277374,0.0,0
RigidBody,41,0.5688487887382507,0.030442645773291588,0.30079737305641174,0.11401582509279251,0.8671183586120605,-0.13293319940567017,0.4662993252277374,0.0,0
RigidBody,42,0.5815281271934509,0.028708022087812424,0.3205287456512451,0.11401582509279251,0.8671183586120605,-0.13293319940567017,0.4662993252277374,0.01617533154785633,1
RigidBody,43,0.5189090371131897,0.03453206643462181,0.28146639466285706,-0.051988936960697174,0.8555894494056702,-0.02771560475230217,0.5142914056777954,0.0,0
RigidBody,44,0.5391350984573364,0.03963503986597061,0.319570928812027,-0.05198894441127777,0.8555895686149597,-0.02771560847759247,0.5142914652824402,0.0,0
RigidBody,45,0.5501675009727478,0.04241848364472389,0.34035524725914,-0.051988936960697174,0.8555894494056702,-0.02771560475230217,0.5142914056777954,0.0035792652051895857,1
RigidBody,46,0.4943280220031738,0.03515223413705826,0.30159813165664673,0.01532585360109806,0.9057589769363403,-0.0039733094163239,0.4234974682331085,0.0,0
RigidBody,47,0.5213626623153687,0.03412296995520592,0.333967924118042,0.0859176442027092,0.90180504322052,0.029066575691103935,0.42251747846603394,0.0,0
RigidBody,48,0.5346134305000305,0.03033619187772274,0.34993693232536316,0.15598607063293457,0.8923578858375549,0.061929408460855484,0.41896378993988037,0.00746656209230423,1
RigidBody,49,0.4697476327419281,0.0357724204659462,0.3217306137084961,-0.053252797573804855,0.9238476753234863,0.13769091665744781,0.35314440727233887,0.0,0
RigidBody,50,0.49694979190826416,0.03581424802541733,0.34609392285346985,-0.053252797573804855,0.9238476753234863,0.13769091665744781,0.35314440727233887,0.0,0
RigidBody,51,0.5105509161949158,0.03583516180515289,0.3582756221294403,-0.053252797573804855,0.9238476753234863,0.13769091665744781,0.35314440727233887,0.0015037549892440438,1
