asset_type,parent_name,pos_x,pos_y,pos_z
Marker,Table,0.5764889717102051,-0.002294230042025447,-0.3334580063819885
Marker,Table,0.5665580034255981,0.0016726700123399496,0.24027200043201446
Marker,Table,0.002900840016081929,0.002420600038021803,0.22895699739456177
Marker,Table,-0.5823299884796143,-0.004569869954138994,0.21033400297164917
Marker,Table,-0.563618004322052,0.0027708299458026886,-0.34610500931739807
Marker,Triangle,1.0426160097122192,0.008947376161813736,0.11097965389490128
Marker,Triangle,1.0138136148452759,0.008785564452409744,0.11289716511964798
Marker,Triangle,1.029342770576477,0.0090226661413908,0.1331234723329544
Marker,righthand,0.3922877907752991,0.030453123152256012,0.24010039865970612
Marker,righthand,0.45462918281555176,0.0326995812356472,0.18077361583709717
Marker,righthand,0.4593997895717621,0.03699024394154549,0.3251410126686096
Marker,righthand,0.5543943643569946,0.0298752523958683,0.25032660365104675
Marker,righthand,0.5193934440612793,0.04924984648823738,0.24895410239696503
Marker,righthand,0.5273216366767883,0.048631299287080765,0.2608844041824341
Marker,righthand,0.5757188200950623,0.03760787472128868,0.33939608931541443
Marker,righthand,0.5557534098625183,0.04928753152489662,0.35115012526512146
Marker,righthand,0.5468800663948059,0.030525006353855133,0.3645496666431427
Marker,righthand,0.5188628435134888,0.04017461836338043,0.3654448390007019
Marker,all,0.5764889717102051,-0.002294230042025447,-0.3334580063819885
Marker,all,0.5665580034255981,0.0016726700123399496,0.24027200043201446
Marker,all,0.002900840016081929,0.002420600038021803,0.22895699739456177
Marker,all,-0.5823299884796143,-0.004569869954138994,0.21033400297164917
Marker,all,-0.563618004322052,0.0027708299458026886,-0.34610500931739807
Marker,all,1.0426160097122192,0.008947376161813736,0.11097965389490128
Marker,all,1.0138136148452759,0.008785564452409744,0.11289716511964798
Marker,all,1.029342770576477,0.0090226661413908,0.1331234723329544
Marker,all,0.3922877907752991,0.030453123152256012,0.24010039865970612
Marker,all,0.45462918281555176,0.0326995812356472,0.18077361583709717
Marker,all,0.4593997895717621,0.03699024394154549,0.3251410126686096
Marker,all,0.5543943643569946,0.0298752523958683,0.25032660365104675
Marker,all,0.5193934440612793,0.04924984648823738,0.24895410239696503
Marker,all,0.5273216366767883,0.048631299287080765,0.2608844041824341
Marker,all,0.5757188200950623,0.03760787472128868,0.33939608931541443
Marker,all,0.5557534098625183,0.04928753152489662,0.35115012526512146
Marker,all,0.5468800663948059,0.030525006353855133,0.3645496666431427
Marker,all,0.5188628435134888,0.04017461836338043,0.3654448390007019
