asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error
RigidBody,2,1.0285911560058594,0.00891853403300047,0.11899983137845993,-0.0013979964423924685,0.0010022383648902178,-0.000607729540206492,0.9999983310699463,4.223224823363125e-5
RigidBody,65537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2779507836064226e-41
